T_outdoor_dry,Single_setpoint,T_outdoor_wet,T_waterMains,T_sky,People_count,Diffuse_solar_radiation,Direct_solar_radiation,Wind_speed,Relative_humidity
-6.675000000000001,21.0,-7.501232077173637,6.44111111111111,-21.6738493371015,1.0,0.0,0.0,2.675,80.0
-4.45,21.0,-5.251493881003516,6.44111111111111,-16.62904139724884,1.0,0.0,0.0,3.85,83.0
-2.225,21.0,-2.9705462787507635,6.44111111111111,-11.865450714563394,1.0,0.0,0.0,5.025,86.0
0.0,21.0,-0.654854965293464,6.44111111111111,-7.349013202905894,1.0,0.0,0.0,6.2,89.0
0.55,21.0,-0.1506377377097341,6.44111111111111,-6.6473766902308284,1.0,0.0,0.0,6.325,89.0
1.1,21.0,0.4210153259373443,6.44111111111111,-5.951238527387829,1.0,0.0,0.0,6.45,89.0
1.65,21.0,0.9544033111690668,6.44111111111111,-5.260499215095706,1.0,0.0,0.0,6.575,89.0
2.2,21.0,1.4876597239300655,6.44111111111111,-4.575062054595946,1.0,0.0,0.0,6.7,89.0
2.7750000000000004,21.0,2.045029352981006,6.44111111111111,-3.838379496488699,1.0,0.0,0.0,6.825,89.0
3.35,21.0,2.6022706685348997,6.44111111111111,-3.1076932316436228,1.0,0.0,0.0,6.95,89.0
3.925,21.0,3.159390837259401,6.44111111111111,-2.382890597548794,1.0,0.0,0.0,7.075,89.0
4.5,21.0,3.7164052211292,6.44111111111111,-1.663862222767705,1.0,0.0,0.0,7.2,89.0
5.05,21.0,4.1938809083827575,6.44111111111111,-0.9505018972183166,1.0,0.0,0.0,7.325,88.25
5.6,21.0,4.668741379486758,6.44111111111111,-0.2427064488608721,1.0,0.0,0.0,7.45,87.5
6.15,21.0,5.140952921020743,6.44111111111111,0.4596243735840062,1.0,0.0,0.0,7.575,86.75
6.7,21.0,5.610480865454084,6.44111111111111,1.1565880122405474,1.0,0.0,0.0,7.7,86.0
6.275,21.0,5.066609722062273,6.44111111111111,0.5671964896561121,1.0,0.0,0.0,7.7,84.25
5.85,21.0,4.526732274972432,6.44111111111111,-0.0260272043107647,1.0,0.0,0.0,7.7,82.5
5.425,21.0,3.9908874829056615,6.44111111111111,-0.6231417169047972,1.0,0.0,0.0,7.7,80.75
5.0,21.0,3.459099126093561,6.44111111111111,-1.224207118233778,1.0,0.0,0.0,7.7,79.0
4.725,21.0,2.940605225056241,6.44111111111111,-1.718969530544257,1.0,0.0,0.0,8.350000000000001,75.5
4.45,21.0,2.426252140196139,6.44111111111111,-2.2164523818444763,1.0,0.0,0.0,9.0,72.0
4.175,21.0,1.9161577698636527,6.44111111111111,-2.716690832728716,1.0,0.0,0.0,9.65,68.5
3.9,21.0,1.4104373566513857,6.44111111111111,-3.2197207632237905,1.0,0.0,0.0,10.3,65.0
