time_step,admm_iteration,primal_residual,dual_residual
0,1,0.0,0.0
0,2,142.10208750903598,20.618056594603104
0,3,70.25213293061614,8.403167612850666
0,4,63.736459697236626,0.0
0,5,53.461758418709024,0.0
0,6,21.509541373291505,0.0
0,7,86.18150544119287,0.0
0,8,93.13648627588705,0.0
0,9,19.09338392949367,0.0
0,10,223.33392729268945,0.0
0,11,109.43566457545364,0.0
0,12,97.59652711045229,0.0
0,13,98.95126936456654,0.0
0,14,75.18184387605419,0.0
0,15,48.42060789652169,0.0
0,16,102.78785453049932,0.0
0,17,72.520285745617,0.0
0,18,6.918573446571827,0.0
0,19,78.61960203276249,0.0
0,20,70.45127439463977,0.0
0,21,12.142438256503215,0.0
0,22,68.41120982239954,0.0
0,23,63.628233082247945,0.0
0,24,6.647177672944963,0.0
0,25,95.51103362918366,0.0
0,26,80.71692891605198,0.0
0,27,83.01360333274049,0.0
0,28,108.53739505338575,0.0
0,29,110.35704479241554,0.0
0,30,89.94473882497277,0.0
0,31,167.48222085251473,0.0
0,32,69.9584113318706,0.0
0,33,106.79531927441712,0.0
0,34,75.76552536792587,0.0
0,35,57.45810249062053,0.0
0,36,56.6000571570805,0.0
0,37,96.11311549029779,0.0
0,38,79.04344115965068,0.0
0,39,50.160182112989546,0.0
0,40,54.2887506068579,0.0
0,41,44.113457511298435,0.0
0,42,18.877703620135435,0.0
0,43,114.7939920178959,0.0
0,44,97.41309320216533,0.0
0,45,96.11419068465699,0.0
0,46,279.8661610050527,0.0
0,47,118.6877807425335,0.0
0,48,82.91796981170774,0.0
0,49,0.0,0.0
1,1,0.0,0.0
1,2,1.376026751992141,0.0
1,3,57.341927563772344,0.0
1,4,0.0,0.0
2,1,0.0,0.0
2,2,1.284445623721643,0.0
2,3,8.048155450787696,0.0
2,4,1.9689793745827018,0.0
2,5,2.1252191425581373,0.0
2,6,46.62994150592465,0.0
2,7,81.23983971608826,0.0
2,8,192.3260637173534,0.0
2,9,203.03291076357525,0.0
2,10,21.28779691688368,0.0
2,11,18.369808910797175,0.0
2,12,20.363009387045672,0.0
2,13,17.85294527890573,0.0
2,14,20.40516454795128,0.0
2,15,17.820741480113867,0.0
2,16,50.88897184064581,0.0
2,17,17.608779349681193,0.0
2,18,15.57985369008545,0.0
2,19,14.601240553330204,0.0
2,20,17.642012780093545,0.0
2,21,13.315715122811827,0.0
2,22,14.28563834978312,0.0
2,23,14.253061634014848,0.0
2,24,14.25860235178942,0.0
2,25,22.09102815361532,0.0
2,26,9.665551924041015,0.0
2,27,9.624644451222068,0.0
