k,P_hvac_1,P_hvac_2,P_hvac_3,P_hvac_4,P_agg,T_1,T_2,T_3,T_4,cost_step
12,0.5734810292078507,0.2803787699010476,4.230995005721896,1.717161708324868,6.802016513155662,19.00747537415196,17.00096160547518,18.9999962880044,19.00065582510663,0.11053276833877951
13,0.5900432804293171,0.30270773857636035,4.326431769970898,1.773851071338031,6.993033860314607,19.00762221394196,17.00039931601193,18.99999619527159,19.00065046510122,0.11363680023011237
14,0.6045740732598609,0.3263783958831723,4.426043191866772,1.8222938026005728,7.179289463610378,19.00506695961187,17.00016209096885,18.9999961577766,19.00081095139382,0.11666345378366866
15,0.6210223668769637,0.34816748858483365,4.525832438437051,1.869192112524536,7.364214406423385,19.00425953773772,17.00006658126992,18.99999616302133,19.0009125796796,0.11966848410438001
16,0.6361371460391311,0.3703028361911992,4.623692873507786,1.915619470074649,7.5457523258127654,19.00337488987961,17.00002761917124,18.99999619208539,19.00103147841167,0.12261847529445745
17,0.6301725759035329,0.3731726448954352,4.666160646346432,1.887760278788418,7.557266145933818,19.00219691534961,17.00001211938375,18.99999633024671,19.00114539251402,0.12280557487142454
18,0.6245966068105903,0.3737372692664587,4.679501289890574,1.8686822198991369,7.54651738586676,19.00517763554527,17.00000630595129,18.9999968354273,19.00106071069709,0.12263090752033484
19,0.6155888194325898,0.3740625909631573,4.67916181013391,1.8538190891451012,7.5226323096747585,19.00544298177181,17.00000442570433,18.99999737576631,19.00105872937993,0.12224277503221483
20,0.6086891091330282,0.3743110366904199,4.67443860336277,1.842350957676928,7.499789706863146,19.00584771934712,17.00000405029041,18.99999778000546,19.00103206688093,0.12187158273652612
21,1.001101363513422,0.7400285533348321,4.696492349531102,2.496438053255741,8.934060319635098,19.00668309663777,17.00000759505428,18.99999805896723,19.00101256865551,0.14517848019407034
22,0.3463007042779121,0.5537849597141393,4.7335017856543224,2.5177451734600442,8.151332623106418,19.00518473555402,17.00000282199325,18.99999923703938,19.00104680332937,0.1324591551254793
23,0.121108714849354,0.3495212761972385,4.777750400393817,2.538713115483877,7.787093506924286,19.00535862827413,17.00000097596349,19.00000015192879,19.00103831844222,0.12654026948751965
24,0.7111378833274073,0.49960940554478167,4.824374199655555,2.559454188320654,8.594575676848397,19.00519288128086,17.00006101560336,19.00000043450853,19.00105181868605,0.13966185474878645
25,0.4009812300939874,0.2376177454944912,4.864830449311002,1.939700715384664,7.443130140284144,19.00476636066892,17.00002947735931,19.00000039850777,19.00105042264849,0.12095086477961735
26,0.42482502825759133,0.2537479501120205,4.911817533902975,1.9678645225643199,7.5582550348369075,19.00486023461566,17.00000994204217,19.00000244705978,19.00106673940017,0.12282164431609975
27,0.4531925966598529,0.2708741031779149,4.964622954357254,1.998787281803045,7.687476935998067,19.00392654540084,17.00000338445005,19.00000420924362,19.00108366570072,0.12492150020996859
28,0.5893167366428681,0.4014398898673017,5.001792572869712,2.0259169341569048,8.018466133536787,19.0036429796406,17.00000304893923,19.00000475173447,19.00109278771971,0.1303000746699728
29,0.5052817750242667,0.3186124334878043,4.989622384835472,1.9799551642894881,7.793471757637031,19.00732994167143,17.00003638818519,19.00000458046893,19.001096599694,0.4578664657611755
30,0.5777796282090646,0.3931452056711581,4.965405385361049,1.970003141553294,7.906333360794566,19.00662293399375,17.00006240304632,19.00000461234603,19.00108654446583,0.46449708494668074
31,0.5442259957087315,0.3619419997464791,4.926448822540551,1.960016844546225,7.792633662541986,19.00763423242855,17.00008328824232,19.00000471136632,19.00108167753189,0.45781722767434163
32,0.5522762496727108,0.3684058149571119,4.875683097973319,1.949466076375757,7.745831238978898,19.01876625528505,17.00005185855559,19.00000473201209,19.00108076818119,0.45506758529001023
