k,l,r_pri,r_dual,t_local,t_comm,t_encrypt,t_total
0,0,0.0,0.0,0.1042163340607658,5.46250375919044e-05,0.0,0.10436537500936538
0,1,142.10208750903598,20.618056594603104,0.09851620893459767,6.679299985989928e-05,0.0,0.09874658298213035
0,2,70.25213293061614,8.403167612850666,0.8703555410029367,8.262402843683958e-05,0.0,0.8706076670205221
0,3,63.736459697236626,0.0,0.0686506659258157,4.0416023693978786e-05,0.0,0.06877925002481788
0,4,53.461758418709024,0.0,0.15202116587897763,5.270796827971935e-05,0.0,0.15218041703337803
0,5,21.509541373291505,0.0,0.898147749947384,4.58740396425128e-05,0.0,0.8983041670289822
0,6,86.18150544119287,0.0,0.07847787300124764,5.904299905523658e-05,0.0,0.07863137498497963
0,7,93.13648627588705,0.0,0.4676081250072457,5.6126038543879986e-05,0.0,0.4677735000150278
0,8,19.09338392949367,0.0,0.07414333400083706,6.104190833866596e-05,0.0,0.0743124580476433
0,9,223.33392729268945,0.0,0.4684485829784535,4.4707965571433306e-05,0.0,0.46860529197147116
0,10,109.43566457545364,0.0,0.7202407080330886,6.341695552691817e-05,0.0,0.7204440830391832
0,11,97.59652711045229,0.0,0.7639827079256065,6.304198177531362e-05,0.0,0.7641950420220383
0,12,98.95126936456654,0.0,0.7507658320246264,6.437499541789293e-05,0.0,0.7509830420021899
0,13,75.18184387605419,0.0,0.4115527080721222,6.450002547353506e-05,0.0,0.4117507500341162
0,14,48.42060789652169,0.0,0.08182183495955542,4.858296597376466e-05,0.0,0.08196575002511963
0,15,102.78785453049932,0.0,0.6359039579983801,4.437501775100827e-05,0.0,0.6360513749532402
0,16,72.520285745617,0.0,0.4508149170433171,6.708293221890926e-05,0.0,0.4510070830001496
0,17,6.918573446571827,0.0,0.3569589169928804,8.887500734999776e-05,0.0,0.3571515409857966
0,18,78.61960203276249,0.0,0.3625061670318246,5.416694330051541e-05,0.0,0.3626882079988718
0,19,70.45127439463977,0.0,0.6492974999709986,5.987501936033368e-05,0.0,0.6494943329598755
0,20,12.142438256503215,0.0,0.25513991597108543,4.270899808034301e-05,0.0,0.25528837501769885
0,21,68.41120982239954,0.0,0.39353399898391217,4.5083987060934305e-05,0.0,0.3936773750465363
0,22,63.628233082247945,0.0,0.5606099169817753,6.420898716896772e-05,0.0,0.5608197919791564
0,23,6.647177672944963,0.0,0.3428854999365285,4.9166963435709476e-05,0.0,0.34304608299862593
0,24,95.51103362918366,0.0,0.23364541598130018,7.154198829084635e-05,0.0,0.23388129100203514
0,25,80.71692891605198,0.0,0.7084422080079094,6.0041958931833506e-05,0.0,0.7086609170073643
0,26,83.01360333274049,0.0,0.20545316603966057,4.2875995859503746e-05,0.0,0.2055935409734957
0,27,108.53739505338575,0.0,1.335837332997471,9.037501877173781e-05,0.0,1.3360654170392081
0,28,110.35704479241554,0.0,1.3213201669277623,5.833397153764963e-05,0.0,1.3215100000379607
0,29,89.94473882497277,0.0,0.45353866793448105,4.1041988879442215e-05,0.0,0.45367341698147357
0,30,167.48222085251473,0.0,0.21037283400073647,5.51670091226697e-05,0.0,0.21054350002668798
0,31,69.9584113318706,0.0,0.929723333043512,6.412499351426959e-05,0.0,0.9299232499906793
0,32,106.79531927441712,0.0,0.10208679101197049,3.6376004572957754e-05,0.0,0.1022238340228796
0,33,75.76552536792587,0.0,0.41299416695255786,4.025001544505358e-05,0.0,0.41312562499661
0,34,57.45810249062053,0.0,0.773909957963042,5.783303640782833e-05,0.0,0.7740954170003533
0,35,56.6000571570805,0.0,0.3911679170560092,4.258396802470088e-05,0.0,0.39131508400896564
0,36,96.11311549029779,0.0,0.19674625003244728,4.0083948988467455e-05,0.0,0.1968662500148639
0,37,79.04344115965068,0.0,0.686288958939258,6.258400389924645e-05,0.0,0.6864798340247944
0,38,50.160182112989546,0.0,0.12398425000719726,3.999995533376932e-05,0.0,0.12412237504031509
0,39,54.2887506068579,0.0,0.46952483407221735,4.57499991171062e-05,0.0,0.46966616599820554
0,40,44.113457511298435,0.0,0.7887873319559731,5.51670091226697e-05,0.0,0.7889714580378495
0,41,18.877703620135435,0.0,0.46541454299585894,7.170799653977156e-05,0.0,0.46561000001383945
0,42,114.7939920178959,0.0,0.1901903750258498,4.1248975321650505e-05,0.0,0.19033104099798948
0,43,97.41309320216533,0.0,0.47679337504087016,5.337502807378769e-05,0.0,0.4769571250071749
0,44,96.11419068465699,0.0,0.5177922919974662,6.416701944544911e-05,0.0,0.5179820830235258
0,45,279.8661610050527,0.0,1.2856182919931598,7.06250430084765e-05,0.0,1.2858321669627912
0,46,118.6877807425335,0.0,0.7173901660135016,6.079196464270353e-05,0.0,0.7175825000158511
0,47,82.91796981170774,0.0,0.3273330010124482,5.2749994210898876e-05,0.0,0.3274895829963498
0,48,0.0,0.0,0.09961429197574034,4.7667010221630335e-05,0.0,0.09976704197470099
1,0,0.0,0.0,0.3232974999700673,4.858296597376466e-05,0.0,0.3234059590031393
1,1,1.376026751992141,0.0,1.1690779569908045,7.24589335732162e-05,0.0,1.1692931659636088
1,2,57.341927563772344,0.0,0.09076037496561185,4.758400609716773e-05,0.0,0.09090495796408504
1,3,0.0,0.0,0.06519970810040832,4.8499961849302053e-05,0.0,0.0653350839857012
2,0,0.0,0.0,0.08216941589489579,4.8957939725369215e-05,0.0,0.08226991700939834
2,1,1.284445623721643,0.0,0.3216806660639122,4.545797128230333e-05,0.0,0.3218152499757707
2,2,8.048155450787696,0.0,0.3386490009725094,8.27079638838768e-05,0.0,0.33888237504288554
2,3,1.9689793745827018,0.0,0.08305724908132106,5.0374947022646666e-05,0.0,0.08319854200817645
2,4,2.1252191425581373,0.0,0.08505024993792176,3.9457983803004026e-05,0.0,0.08515541697852314
2,5,46.62994150592465,0.0,0.0815812919754535,4.4000043999403715e-05,0.0,0.08171225001569837
2,6,81.23983971608826,0.0,0.32909395900787786,4.57499991171062e-05,0.0,0.32922958297422156
2,7,192.3260637173534,0.0,0.31686595897190273,3.9832957554608583e-05,0.0,0.3169903329689987
2,8,203.03291076357525,0.0,0.4740504580549896,6.116594886407256e-05,0.0,0.47424279199913144
2,9,21.28779691688368,0.0,0.1422979579656385,5.758303450420499e-05,0.0,0.14246866601752117
2,10,18.369808910797175,0.0,0.3245038340683095,4.27919439971447e-05,0.0,0.32462841598317027
2,11,20.363009387045672,0.0,0.15910087496740744,4.779198206961155e-05,0.0,0.159252125013154
2,12,17.85294527890573,0.0,0.663061958970502,4.354200791567564e-05,0.0,0.6631938339560293
2,13,20.40516454795128,0.0,0.3505437499843538,4.04169550165534e-05,0.0,0.35067120898747817
2,14,17.820741480113867,0.0,0.8946543739293702,5.345797399058938e-05,0.0,0.8948276250157505
2,15,50.88897184064581,0.0,0.3530893739662133,4.154100315645337e-05,0.0,0.3532419999828562
2,16,17.608779349681193,0.0,0.059290958975907415,4.012399585917592e-05,0.0,0.059414708986878395
2,17,15.57985369008545,0.0,0.33573220804100856,5.316699389368296e-05,0.0,0.33587700000498444
2,18,14.601240553330204,0.0,0.33496162510709837,5.6333024986088276e-05,0.0,0.335129874991253
2,19,17.642012780093545,0.0,0.06917820795206353,4.2374012991786e-05,0.0,0.06931716698454693
2,20,13.315715122811827,0.0,0.3241851249476895,5.0833041314035654e-05,0.0,0.32434200000716373
2,21,14.28563834978312,0.0,0.07114020799053833,4.7042034566402435e-05,0.0,0.07127474999288097
2,22,14.253061634014848,0.0,0.08723229292081669,4.3500971514731646e-05,0.0,0.08736170904012397
2,23,14.25860235178942,0.0,0.10003991692792624,4.437501775100827e-05,0.0,0.1001841250108555
2,24,22.09102815361532,0.0,0.3387401250656694,4.174897912889719e-05,0.0,0.3388696250040084
2,25,9.665551924041015,0.0,0.07503129198448732,4.704197635874152e-05,0.0,0.075162332970649
2,26,9.624644451222068,0.0,0.07097408210393041,3.908301005139947e-05,0.0,0.07108187500853091
2,27,9.627966566423947,0.0,0.09346978995017707,4.112598253414035e-05,0.0,0.09358699998119846
2,28,10.728671865667568,0.0,0.31392345804488286,3.8623984437435865e-05,0.0,0.3140354999923147
2,29,4.2028032878035795,0.0,0.09629941708408296,5.062500713393092e-05,0.0,0.09645875002024695
2,30,4.163149821721451,0.0,0.7958306240616366,4.329101648181677e-05,0.0,0.7959635830484331
2,31,3.220897740147283,0.0,0.062381917028687894,3.854098031297326e-05,0.0,0.06248529197182506
2,32,6.795753255104248,0.0,0.3151730000390671,4.75000124424696e-05,0.0,0.31532262498512864
2,33,3.27953093271865,0.0,0.07811774994479492,9.458203567191958e-05,0.0,0.0783243749756366
2,34,3.225195055101313,0.0,0.714007333968766,5.30409743078053e-05,0.0,0.7141688330448233
2,35,3.226198421156539,0.0,0.07458608399610966,4.429090768098831e-05,0.0,0.07471416698535904
2,36,5.212226180803537,0.0,0.3120559999952093,4.437501775100827e-05,0.0,0.31218716700095683
2,37,3.227765288118867,0.0,0.07860708399675786,3.8792029954493046e-05,0.0,0.0787163749919273
2,38,3.228370197438295,0.0,0.061949499999172986,3.779097460210323e-05,0.0,0.06205687503097579
2,39,2.809815326273153,0.0,0.30843379197176546,4.0624989196658134e-05,0.0,0.30854774999897927
2,40,3.2293107197018784,0.0,0.0886954580200836,4.145794082432985e-05,0.0,0.08881495799869299
2,41,23.30250042339057,0.0,0.3186186670209281,3.850000211969018e-05,0.0,0.3187410830287263
2,42,8.841035918184417,0.0,0.3287582501070574,6.254203617572784e-05,0.0,0.3289452079916373
2,43,3.2836415248347777,0.0,0.08530362497549504,5.2875024266541004e-05,0.0,0.08544766705017537
2,44,3.2304556906392072,0.0,0.10139729105867445,9.041698649525642e-05,0.0,0.10163616697536781
2,45,3.2306392077640353,0.0,0.1750361270387657,6.595702143386006e-05,0.0,0.17522308300249279
2,46,21.58457025264056,0.0,0.34653591795358807,5.5958982557058334e-05,0.0,0.3467006250284612
2,47,3.2921190934737723,0.0,0.08645545894978568,4.0624989196658134e-05,0.0,0.08657474996289238
2,48,0.0,0.0,0.07885054202051833,4.912505391985178e-05,0.0,0.0789939159876667
3,0,0.0,0.0,0.10499537596479058,4.670704947784543e-05,0.0,0.10510637500556186
