k,P_hvac_1,P_hvac_2,P_hvac_3,P_hvac_4,P_agg,T_1,T_2,T_3,T_4,cost_step
25,0.7922175347814269,0.7382703624200725,4.766366289813401,1.9503115013838481,8.247165688398749,22.98210902539416,21.95436326839813,19.00000040419044,19.11138466471144,0.13401644243647967
26,0.8198476839451316,0.7513579966336908,4.822067844082574,2.110901111428101,8.504174636089498,22.99292251627055,21.96899782172276,19.00000239992159,19.14478577783635,0.13819283783645436
27,0.8405052300504678,0.7465566725161575,4.882656082743781,7.128257737021827,13.597975722332233,22.99542211119437,21.93569185969034,19.00000411917048,21.64709175581907,0.2209671054878988
28,0.9768605164096745,0.8974367043993977,4.926878074085028,4.9773289490717,11.778504243965802,22.99779261533289,21.94144261061273,19.00000746416092,21.98048308826219,0.19140069396444429
29,0.877620296049887,0.7781244122323565,9.20034110880912,5.805924597906059,16.66201041499742,22.99675675105779,21.91748711719514,21.76069217100793,21.99890932803153,0.9788931118810985
30,0.9159815305851619,0.7165280669281405,6.430037589918651,1.5311882905257221,9.593735477957676,22.95038067109996,21.69910129690216,19.14545090193933,19.13141958210633,0.5636319593300134
31,0.8736048960816228,0.8092649495091452,5.333926335118318,2.90782299628302,9.924619176992106,22.92152591244049,21.76375487266773,19.00583908037814,19.08644127730886,0.5830713766482862
32,0.9079321665234416,0.8137051860009799,4.3477890542713356,0.8685456755501074,6.937972082345865,22.96984798133586,21.84715284099396,19.00011401390336,19.00378743298476,0.4076058598378195
33,0.6998532242902182,0.6985665874057582,4.216201834079438,1.499188219335662,7.113809865111077,22.7074798870583,21.72327565429825,19.00000499087419,19.00027222133208,0.41793632957527577
34,0.9079528382332422,0.6588722591021888,4.176639447148336,1.5017207850423149,7.245185329526082,22.89103770747262,21.60923571089732,19.00000062434231,19.00087784205373,0.4256546381096573
35,0.7967296642424033,0.2333088290716802,4.157543830156112,1.545892326005629,6.733474649475824,22.93747219224934,20.92624500618286,19.00000057963997,19.00096672708804,0.3955916356567047
36,0.7849751141654066,0.45528601433277327,4.130314126195462,1.569580930784334,6.940156185477977,22.97774175221477,20.82160426862388,19.00000091393542,19.00085071506473,0.40773417589683114
37,0.08015973005349576,0.2346657085210745,4.06340302790228,1.565312525667712,5.9435409921445626,21.72921667920662,20.48752879643617,19.00000106020705,19.00079134567452,0.34918303328849304
38,0.4667453657046867,0.6501965751470048,3.9681948081094527,1.5513996494156779,6.636536398376822,21.68729976179391,18.74182358146344,19.00000065994658,19.00080021951241,0.38989651340463827
39,0.0006665839432815622,0.4962157466609561,3.861191406263868,1.535061868187975,5.893135605056081,21.06722264079966,19.47915101003092,19.00000056094901,19.00086361167578,0.3462217167970447
40,0.2365719980830939,0.893903176149808,3.74851894945532,1.5155288547996182,6.39452297848784,20.91390635955795,17.92118883208831,19.00000082391641,19.00091971200731,0.3756782249861606
41,0.39342971920326403,0.1088681882533067,3.65901431933917,1.526873520640562,5.688185747436303,21.31496192165236,18.10095429331533,19.00000478643249,19.00097596740925,0.20619673334456595
42,0.8478843440367784,1.415488512885293,3.581497513617669,1.534500528582612,7.379370899122352,22.35492925311666,20.6826259791567,19.00000145772445,19.00103137328255,0.26750219509318524
43,0.7255081283647341,0.7756242847568037,3.5084436407654422,1.539477601915097,6.549053655802077,22.74383052494186,21.49269473831508,19.00000088330831,19.00104232147331,0.23740319502282528
