k,P_hvac_1,P_hvac_2,P_hvac_3,P_hvac_4,P_agg,T_1,T_2,T_3,T_4,cost_step
27,0.3598219961009214,0.3598219961009214,4.137096465718115,1.44546586060874,6.3022063185286985,18.00000433807642,18.00000433807642,18.00000312204532,18.0,0.10241085267609136
28,0.4951491589055284,0.4951491589055284,4.190090836066767,1.477867887367647,6.65825704124547,18.00000348238474,18.00000348238474,18.00000354467196,18.0,0.10819667692023889
29,1.521932129769878,1.151565633317786,8.402246949269472,6.635572592382904,17.71131730474004,19.866621215514,19.24442980855948,20.80166506262468,20.78113805523238,1.0405398916534772
30,1.396090421817779,1.059876494236379,9.96717006729075,4.010980616017951,16.434117599362857,20.63185377070439,19.74580687250845,20.99857832193189,20.98778000325296,0.9655044089625677
31,1.338463371697046,1.018431965181301,10.74130296725178,5.255383904368318,18.353582208498445,20.8827933065363,19.91609376529596,20.99999361168541,20.99930459709997,1.0782729547492835
32,1.2305311748545722,0.9536933403604396,10.61672707700934,4.624179376523795,17.42513096874815,20.9624165546746,19.9721477751554,21.00000158430215,20.99995986956262,1.0237264444139538
33,1.1303660525747359,0.8902372828262183,10.166941643307108,4.380843881448607,16.56838886015667,20.98781519136114,19.99066926268408,21.00000240321248,20.99999765913169,0.9733928455342044
34,1.036680242434458,0.8239506100560616,9.622409030788766,4.1844002108811615,15.667440094160447,20.99600238471733,19.99680555076308,21.00000202406132,20.99999986226811,0.9204621055319262
35,0.9486981488356899,0.7573716352368776,9.080795636763533,4.021893169833196,14.808758590669296,20.9986381841651,19.99887912186686,21.00000179905382,20.99999999183648,0.8700145672018211
36,0.8671632960656948,0.693262083920226,8.580232717200449,3.8830038958700537,14.023661993056423,20.99951480424927,19.99958998774264,21.00000247385612,20.99999999951303,0.8238901420920648
37,0.7825441921533012,0.6236025935768034,8.110456667060904,3.741052714103621,13.257656166894629,20.99981099575839,19.99983741026252,21.00000280305613,20.99999999997076,0.7788872998050594
38,0.7020691034199678,0.5561452880850756,7.6763050684291265,3.610245425741201,12.54476488567537,20.99991443208723,19.99992630857599,21.00000159762263,20.99999999999823,0.737004937033428
39,0.6572034716023847,0.5220214395604502,7.282556824164189,3.4937245022929493,11.955506237619973,20.99995231858256,19.99995955360982,21.0000014605902,20.99999999999989,0.7023859914601734
